序号	对话上文	回复	连接词	本体	喻体

2944	盘点世界上最奇特的五种水果，你吃过几种？最后一种像喝血一样	火参果不是应该更像老的本地黄瓜一样吗？只是只能吃里面的籽	像...一样	火参果	老的本地黄瓜

2945	过度痴迷更新（√）建议进海棠网址用:周安要开窍了我跟你们讲！	网站更新完了，暂时很顺滑~~~像受的肌肤一样顺滑~~	像...一样	网站	受的肌肤

2946	再见银狐！没想到你留给中国足球的背影这般莫可名状，无奈与悲凉。	他动作的意思是看那个球员那个懒散的样子像散步一样处理球是如此的随意	像...一样	处理球	散步

2947	难吃101终极预告如果食材届有难吃101的话？你会选谁C位出道？	鱼腥草折耳根我没吃过不投票，投秋葵一票，黏黏的像痰一样。	像...一样	秋葵	痰

2948	最近真的是快要失眠失成失心疯平安夜啊，圣诞老人请给我一个好眠	原来长大后有一个好睡眠这么难，七呀，来年要像婴儿一样有个好睡眠	像...一样	我	婴儿

2949	她不是美人，却让民国第一美男一见钟情，爱了一辈子。	跟伟人们比，我们活着就只是活着啊，好渺小，像尘埃一样……	像...一样	我们	尘埃

2950	没有顺产过，去百度了一下有没有生过的宝妈来形容一下顺产到底有多痛？	我剖的，第三天下床走路伤口像刀割一样，疼得想死，真佩服那些生三四胎的	像...一样	顺产	刀割

2951	2019，绝不缺席新的冒险，和星罗班一起昂首阔步，砥砺前行来了	京剧猫好消息来得就像放鞭炮一样，要么一声不吭，要么一下炸一串儿x	像...一样	好消息	放鞭炮

2952	生日小记#脸大吃四方的我本人和志不在石家庄的新男友	您像落日一样美于是您化身落日与我合照（为丧心病狂）	像...一样	您	落日

2953	你们是以外貌判断人，我却不判断人。（约翰福音08:15）	你见群山而以为都是固定的，其实群山都像行云一样逝去。	像...一样	群山	行云

2954	道理都懂，准备也做了很久，但终究还是...意难平啊……	真的是意难平做了大半年的心里准备这天到来还是像心被刀割一样难受	像...一样	意难平	心被刀割

2955	演出服送人舞团借人还给帮助天啊王嘉尔同学你怎么这么暖啊	嘉尔人真的很好，他给你的感觉就像是两个老朋友一样和蔼亲切	像...一样	王嘉尔	是两个老朋友

2956	吴亦凡亮相《Vogue》杂志基金大奖红毯，这套look你打多少分？	迷离的眼神，唏嘘的胡渣，这男人就像黑暗中的萤火虫一样	像...一样	男人	黑暗中的萤火虫

2957	比张家界玻璃栈道恐怖100倍，这次重庆又又又要火了...	在外面就觉得像护犊子一样护着家乡不过中国的工程质量监督力度实需加强	像...一样	护着家乡	护犊子

2958	【地铁网络客流】5月2日上海地铁总客流为933.1万人次。	你不知道地铁10号线空调开的特别的冷吗？像冰窖一样！	像...一样	地铁10号线	冰窖

2959	一张壁纸一份图标具体看图四被限流了随缘8没人就早点截止～微博糊图	“我在贩卖日落，你像神明一样慷慨的，将光撒向我，从此人间被点亮。”	像...一样	你	神明

2960	【吃了紧急避孕药失败意外怀孕人流】大家的评论会被她看到	真的太害怕在别人面前提起了，像噩梦一样，你应该很信任这个男孩子吧	像...一样	意外怀孕人流	噩梦

2961	嘛，你博一直建议大噶是要多谈谈的。和打游戏一样的，不攒经验怎么升级？	果粒叔怼得挺好的～不过这个相亲节目是个啥啊，搞得好像菜市场挑猪肉一样	像...一样	相亲节目	菜市场挑猪肉

2962	所以这次只需要阅读量嘛！刚刚刚，一步两步，魔鬼的步伐！	愿你眼里长着太阳，笑里全是坦荡，像个孩子一样快乐！	像...一样	你	孩子

2963	高能慎入！细数那些喝醉酒后做出的糗事妈呀最后一张辣眼睛【搞笑】	看完整个人都不好看，搞得上班开会的我像条虫一样，四肢挪动	像...一样	我	虫

2964	还要说的是汕头的电动共享单车，实在是太太方便了！爱上了！！	我们这边也有，我今天第一次骑，我觉得我像风一样自由！	像...一样	我	风

2965	丁霞漂亮发球，颜妮精彩拦网，中国女排一鼓作气取得第三局胜利！	从二号位拦到四号位，各种拦网，掌柜真的像冷酷杀手一样	像...一样	掌柜	冷酷杀手

2966	老师不改作业，学生为什么还要去上课？网上买个课程也可以啊。	现在老师布置作业都在qq群里发布，搞得像企业的董事长一样。	像...一样	老师	企业的董事长

2967	好想知道，这件叉烧是哪里的，应该是港大内地生，这脑子算是洗完了。	国内也很多的人觉得香港是为了自由民主，讲不通，讲了两个都像打架一样	像...一样	讲不通	打架

2968	如果你的爱豆像罗大佑一样一直活跃在乐坛，姐妹们还会吗？	罗大佑也是我心目中的偶像，阳光喜欢他就像光一样的男孩	像...一样	他	光

2969	别克制了练了这么久的貂蝉就是玩不好我只适合原地蹦哒的安琪拉	哈哈哈我觉得安琪拉比貂蝉难玩我玩安琪拉就像个傻子一样	像...一样	我	傻子

2970	不过其实很多人都还是可以接受低盐饮食的，另外不妨从孩子开始培养。	我对我家孩子饮食控制的还挺严，可是在别人看来你就像是个怪物一样的。	像...一样	你	怪物

2971	范丞丞紧张到紧闭双眼，却不小心把水喷了，太可爱了，哈哈	哈哈哈，丞丞嘴巴鼓得像海豚一样，不过他超暖心还会去安慰旁边的人	像...一样	丞丞	海豚

2972	风味人间拍的真是美轮美奂，差一点对我减肥大业产生破坏性影响。	王大头吃猪食容易胖，吃转基因吧，像方博士一样像个猴子一样就好了	像...一样	方博士	猴子

2973	小宅Vlog07-东京霉霉演唱会！还有一些小日常片段.	太喜欢小宅的vlog了希望每天都能看到你的日常像陪伴在身边一样！！	像...一样	每天都能看到你的日常	陪伴在身边

2974	并不赞同他的每一个报道和观点，但依然觉得他是很有勇气和职业的媒体人。	一个人突然就从公众面前消失了，无影无踪。我觉得就像恐怖片一样。	像...一样	一个人突然就从公众面前消失了	恐怖片

2975	加州一名冒险家与摄像师分享自己爬中国华山的视频。光是看着都腿软啊	确实腿软。我爬华山就没敢站立起来，像小孩一样在地上爬的。	像...一样	我	小孩

2976	美国著名专家警告：转基因食品可能使中国出现“全民癌症”的景象！	转基因不是哪一个民族的事情，很可能像瘟疫一样传偏全球，而且防不胜防	像...一样	转基因	瘟疫

2977	我在帮助了猕猴，获得了爱心和动物卡片。们，快加入驿站一起玩吧！	你的眼神，像蒸馏水一样纯洁，像岩浆一样灼热，像原子一样深邃！	像...一样	眼神	原子

2978	据说现在美少女战士特别火我也发一个试试会不会一发不可收拾	哇，突然也好像要一个女儿，可以把她打扮的像小糖豆一样	像...一样	她	小糖豆

2979	北京个别股份制银行下调房贷利率，业内分析称不代表主流。（北京商报）	银行也在如履薄冰，在不停试探上层的底线，慢慢的慢慢的渗透，像偷鸡一样	像...一样	试探上层的底线	偷鸡

2980	《我的野蛮女友》，“命运，就是在你和所爱的人之间盖的一座桥。”	有了这座桥，也就是缘分到了，希望感情能像桥一样稳定	像...一样	感情	桥

2981	是有我背书的那部分鸭蛋格外好卖吗哈哈咋就把咱的这半扇露出来了？	主要是皮肤好，像剥皮的鸭蛋一样又白又细所以这半边卖的快。	像...一样	皮肤	剥皮的鸭蛋

2982	没有技术变革，规则变革或者大佬失误，后进者难比登天	小吴说了老吴你是不是男人，别像缩头乌龟一样打算混过去	像...一样	老吴	缩头乌龟

2983	现在的娱乐圈，吸毒、家暴、出轨、偷税漏税，还有什么...？真够乱的	这你都惊讶的话，你去调查下别的圈，那你可能像乡巴佬进城一样	像...一样	你去调查下别的圈	乡巴佬进城

2984	玉泽清痘修护精华液。里面有酒精有水杨酸，是有一定祛痘效果的	为什么我用这款精华液吸收后就像干了的胶水一样可以撕出来一张膜	像...一样	精华液	干了的胶水

2985	昨天我没转那个跳舞的新疆女孩。因为不是我喜欢的类型。仅此而已。	感觉像是饿狗扑食一样，所有人都在转，充满了一股营销的气息	像...一样	所有人都在转	是饿狗扑食

2986	“现在我不想做宣传部的干事了，我想努力一点，做宣传部的部长”	“林语堂先生说过：演讲就要像女生的短裙一样，越短越好。所以我结束了”	像...一样	演讲	女生的短裙

2987	可以可以手语特别好哈哈收工顺利这首很特别阿靖感觉找的非常√	钱老师，有没有很苦很苦，像吃了断肠草一样苦的那种歌呀	像...一样	歌	断肠草

2988	【原图分享，扩散起来】祝巴塞罗那足球俱乐部119岁生日快乐！！！	喜欢你就像喜欢恋人一样，别人可以移情别恋，我却做不到。	像...一样	巴塞罗那	恋人

2989	有了小米无线充电宝，朋友都变多了……哈哈	雷总开心的像个孩子一样	像...一样	雷总	孩子

2990	生活已经开始对我这个小泡芙加奶油了ヾ()~	宝贝就像奶油泡芙一样甜！	像...一样	宝贝	奶油泡芙

2991	有点飙车的嫌疑，钻缝儿失败被“关门”的典型案例～	天天看车祸视频，我开车怂得像狗一样	像...一样	我	狗

2992	吴千语近照合辑，真是又瘦又漂亮了！	她的小红书视频超好看啊像洋娃娃一样	像...一样	她	洋娃娃

2993	别人家的狗和我家的狗，我准备换儿子了	事事儿:我还想换爸爸呢你就像个傻子一样	像...一样	你	傻子

2994	朱一龙|萌宝朱一龙还没有吃饱就要出门了	好可爱，嘴巴就像肥仓鼠一样	像...一样	朱一龙	肥仓鼠

2995	新年快乐！祝大家新年都是欧皇，买啥啥涨停！	说得买票好像和抽sssr一样简单	像...一样	买票	抽sssr

2996	大家穿着支持拉菲尼亚的T恤入场了。	巴塞罗那，始终像家一样的俱乐部	像...一样	巴塞罗那	家

2997	这条微博评论里安利一下你的爱豆	他个子高高，但总像孩子一样可爱，善良谦逊又有趣	像...一样	他	孩子

2998	废掉卡拉斯科or劝哄留队你是周军你咋整	废掉？大连队有那个魄力吗？对待外援像对待亲爹一样	像...一样	对待外援	对待亲爹

2999	Low君带你刷热剧之《西门无恨》：有钱真好！	大妈怎么看着像人妖一样	像...一样	大妈	人妖

3000	倒计时一小时了皮衣少年就要酷炫开场了见	真的像一只大眼青蛙一样	像...一样	皮衣少年	一只大眼青蛙

3001	大家分手时候说的最后一句话是什么？	女人在分手这件事上就像个低等动物一样。。	像...一样	女人	低等动物

3002	你说你也想我，江南的落雪就融了。	于是，思念像火一样热烈。	像...一样	思念	火

3003	黄子韬的采访，简直人间真实啊	哈哈，看黄子韬的采访咋像看综艺一样好玩	像...一样	看黄子韬的采访	看综艺

3004	两只企鹅手牵手在海滩悠闲的散步，好浪漫~	企鹅太可爱了，像一对恋人一样的甜蜜。	像...一样	两只企鹅	一对恋人

3005	华晨宇《国王与乞丐》万人合唱版，大家确实唱的很好	笑得像一个孩子一样纯真，满脸的骄傲	像...一样	华晨宇	一个孩子

3006	我妈就是我全勤标兵道路上最大的拦路虎绊脚石！！！	像小姐妹一样的相处诶好棒	像...一样	我妈	小姐妹

3007	一个方便收纳的叠羽绒服的方法，马住学一下！	像套袜子一样，记住了哈哈哈	像...一样	叠羽绒服	套袜子

3008	好帅啊…路灯衬着再配上马蹄声…好高贵了（重点错…	马儿:我要像风一样自由	像...一样	我	风

3009	多角度回顾昨天扣篮鬼才引发地震的战斧隔扣	重点只在我库激动的像个二傻子一样	像...一样	我库	二傻子

3010	邓肯生涯最遗憾的一个球当时多少球迷为之惋惜	这场邓肯打波什像打儿子一样	像...一样	邓肯打波什	打儿子

3011	图案设计：我纹：我客人要求：太阳，月亮，星星	就像库洛牌里的精灵一样	像...一样	图案	库洛牌里的精灵

3012	感觉脑子里在同时跑八趟火车。。。	看了女排我的心里刚刚像跳了崖一样	像...一样	看了女排	跳了崖

3013	前面的朋友往前挤一挤……后面有点冷	好喜欢这种像猪一样胖的喵	像...一样	喵	猪

3014	庆功晚宴开席，小伙伴们速来，看我吃播！	哦哦，有些人比完赛后面肿得像猪一样	像...一样	有些人	猪

3015	着什么急难道除了喜欢兔子还喜欢别的什么呀	像兔子一样的wwx/xz	像...一样	wwx/xz	兔子

3016	空集M最新现场不插电表演《LeanOn》-	键盘小哥哥怎么像弹古筝一样啊哈哈哈	像...一样	表演	弹古筝

3017	这段舞蹈持续了近一分钟，还是没有感动到小姐姐~	小伙子，你跳的给我的感觉就像癫痫发作一样	像...一样	舞蹈	癫痫发作

3018	热心市民王女士突然出现我眼袋重的已经懒得隐瞒了	宁就像奶茶一样那么甜！！	像...一样	宁	奶茶

3019	我丢失和折损的充电线就跟爱情一样多。	我丢弃爱情就像折损充电线一样容易	像...一样	丢弃爱情	折损充电线

3020	友情提醒！面膜用起来了滋润面膜膏该开始用了	今天起床，鼻子好像蛇一样脱皮！！！	像...一样	鼻子	蛇

3021	你们有没有这种像妈一样的闺蜜？	相反，我自己是像妈一样的闺蜜	像...一样	我自己	妈

3022	华晨宇蜉蝣华晨宇中国航天日晚会演唱《蜉蝣》	欣赏不来，难道就我觉得整个过程像邪教一样？？？	像...一样	整个过程	邪教

3023	刚吃完饭回家…每天铺床困难症…	宽宽像个肉圆子一样～圆滚滚的	像...一样	宽宽	肉圆子

3024	男生陪女生看韩剧时～如履薄冰呀	侧面反应女友就像领导一样要伺候周到才有好日子过啊	像...一样	女友	领导

3025	你家宠物有什么特别之处没！！	见到我穿长款衣服会特别害怕，像见鬼一样	像...一样	见到我穿长款衣服	见鬼

3026	第48次德费对决开始啦，你们在看了吗？	费德勒的发球像炮弹一样	像...一样	发球	炮弹

3027	最近一吃完饭就肚子疼，是什么意思？我恨	可能是你吃得像猪一样多	像...一样	你	猪

3028	冬天太容易困啦我要眯一会儿啦	脆脆的眼睛像银河一样好漂酿！！！	像...一样	眼睛	银河

3029	梅西和巴萨高层出席西甲颁奖典礼	站在那里就像小熊一样哈哈哈超可爱	像...一样	梅西	小熊

3030	从另一种角度看到的小猫咪，可爱到昏厥！	像修车一样躺在她肚子下面怎么样	像...一样	躺在她肚子下面	修车

3031	有狗了有狗了猫狗双全了！！！叫啥名字好呢？！	纳豆！！雪纳瑞眼睛像黑豆一样！！！	像...一样	雪纳瑞眼睛	黑豆

3032	砍下50分的罗斯，赛后也动了情	像个孩子一样，真好，我的玫瑰梦	像...一样	罗斯	孩子

3033	FA-18大黄蜂舰载机的着舰过程	飞行员相当从容，就像开车回家一样。	像...一样	舰载机的着舰过程	开车回家

3034	梦是在你入睡之前，许下的心愿。	帅小孩像个大人一样哈哈	像...一样	帅小孩	大人

3035	很多年沒試過可以很自在的在街頭吃早餐了！	谭校长像个孩子一样开心	像...一样	谭校长	孩子

3036	开心透了打个哈欠把鱼钓！介绍一下，它叫花里羔子	笑个像个傻子一样了二胖	像...一样	二胖	傻子

3037	早鸭今日份营业拖了两天视频今天不出意外就会来了！	姐姐每天都像仙女儿一样美	像...一样	姐姐	仙女儿

3038	波兰的清晨，克里茨科古堡的春天。。	这也太好看了吧？像童话世界一样	像...一样	克里茨科古堡的春天	童话世界

3039	【张哲瀚黑暗料理】小雨我们不散#	我瀚哥切菜像在耍功夫一样不过老帅了	像...一样	切菜	耍功夫

3040	2001年的斯嘉丽配这红裙真的太绝了	像芭比一样!!!太好看了	像...一样	斯嘉丽	芭比

3041	你最想听哪些老师的考前聚焦呢？	雪艳我感觉像知心姐姐一样	像...一样	雪艳	知心姐姐

3042	哈哈，你这个图太缺德了，路飞要跳出来打人了。	路飞-格瓦拉？回监狱像回家一样，里面个个都是人才	像...一样	回监狱	回家

3043	气温零下又不下雪的感觉是啥样的？	就是干冷然后风吹到脸上像刀割一样疼~	像...一样	风吹到脸上	刀割

3044	你们哈哈的样子特别地清纯可爱	你笑起来真好看，像春天的花一样	像...一样	你	春天的花

3045	3款简洁利落的低马尾编发教程，超有气质~	大家别试了，我刚刚绑了，像个疯婆子一样	像...一样	我	疯婆子

3046	我最爱的一个男明星，你要幸福哦，永不脱粉！自捞	你就像冬日暖阳一样，总能让人感觉很温暖和安心	像...一样	你	冬日暖阳

3047	创意水果拼盘，可爱的舍不得吃！	那个像拖鞋一样的就不要了吧	像...一样	水果拼盘	拖鞋

3048	有一个脾气超级好的对象是怎样的体验？	我的男人的脾气像疯狗一样难道每次要我去哄？	像...一样	我的男人	疯狗

3049	2018年就剩最后三个月了！	这大半年我活得像个行尸走肉一样	像...一样	我	行尸走肉

3050	实时播报小茜妞老师看到优秀学员的欣喜表现	吴亦凡表情好好笑，像小媳妇一样	像...一样	吴亦凡	小媳妇

3051	开启放假模式，祝大家国庆快乐，吃嘛嘛香	乔治小帅哥眼睫毛像扇子一样，好喜欢耶	像...一样	眼睫毛	扇子

3052	梁朝伟一个眼神告诉你，什么叫一眼万年。	刘嘉玲那一瞬间像个小孩子一样	像...一样	刘嘉玲	小孩子

3053	柬埔寨姐弟俩靠抓蛇为生，弟弟当诱饵引蛇出洞	咋能像刨土豆一样轻松呢	像...一样	抓蛇	刨土豆

3054	老天爱笨小孩笨小孩早安奋斗去	感觉宇哥像老父亲一样，每次看到他煽情的话就想哭	像...一样	宇哥	老父亲

3055	关于我爱你这件事，就到此为止吧。	喜欢有一种魔力，像磁铁一样的吸引力	像...一样	喜欢	磁铁

3056	9种眼影口红的色彩搭配示范~	全部都像擦了猪油膏一样的	像...一样	眼影口红的色彩搭配	擦了猪油膏

3057	大家转发收藏，总有一本让你受益匪浅	读书，可以让你掌握知识，而知识就像呼吸一样	像...一样	知识	呼吸

3058	我的男票是保姆系列，我也需要这样的保姆~	我也希望男朋友像个保姆一样勤快	像...一样	男朋友	保姆

3059	袁巴元对张雨绮的最新回复，什么水平？	感觉张女士像个戏精一样	像...一样	张女士	戏精

3060	想把你放在心里梦境我的床上晚安	你就像光一样你一出现我的世界就亮了	像...一样	你	光

3061	世界微笑日。可我还是喜欢开心的大笑。	愿您一直快乐，像个孩子一样大笑	像...一样	您	孩子

3062	这部剧里只有龙波让人没有一丁点的同情	还像抱孩子一样保他护在怀里	像...一样	保他护在怀里	抱孩子

3063	1992年祖贤在CCTV打篮球	她的头发像瀑布一样甩来甩去	像...一样	头发	瀑布

3064	只花三秒，它就成功俘获了我的心！晚安~小可爱们	我们一起学猫叫……然后可不可以像猫咪一样招人喜爱	像...一样	我们	猫咪

3065	这个故事告诉我们平时不要在野外玩捆绑	你要像容嬷嬷一样扎人了？	像...一样	你	容嬷嬷

3066	我不管，我们的鸟儿超好看，而且好看的鸟儿还有五只	就像穿天猴一样长势喜人	像...一样	鸟儿	穿天猴

3067	无论是否有狗狗在身边，都能体会到那种情感涌动	像亲人一样，但不再想养，真的害怕失去。	像...一样	狗狗	亲人

3068	你看那天上的白云聚了又散，散了又聚。	你的羊群也是这样的，像云一样	像...一样	羊群	云

3069	说一句偶像对你影响最深的一句话吧！	但我始终相信，世界上有像水一样纯洁的准则。	像...一样	准则	水

3070	虽然真的没认出来，但是这样的“黑宇”给我来一打！	懒惰像生锈一样，比操劳更消耗身体。	像...一样	懒惰	生锈

3071	开始深夜营业看到是缘分，假发的我	像精致的瓷娃娃一样！！	像...一样	我	精致的瓷娃娃

3072	盛明兰，好狠一女的，瑟瑟发抖	那啥康姨妈像个狗皮膏药一样甩也甩不开，明兰雄起	像...一样	康姨妈	狗皮膏药

3073	长春大哥:铁锅炖鱼烀嘀滴里嘟噜的…	大哥的嘴像搅拌机一样，甭管啥都是一吸溜	像...一样	嘴	搅拌机

3074	你读书，我跳舞，猫儿之春日日无辛苦。——夏目漱石	想你想你一见你我心里就像气泡水一样开心的冒着泡	像...一样	我心里	气泡水

3075	现实中，这样的男人又能有几个呢？【搞笑】	你还是嫌弃她胖的像猪一样	像...一样	她	猪

3076	我们男生说的喜欢素颜就是指不化妆并且长得好看吧	啊啊最近超爱的小仙女！每一帧都像画一样好看	像...一样	每一帧	画

3077	史诗级经典！麦迪35秒13分，再来看一次吧！	老子的右手像迫击炮一样有力。	像...一样	右手	迫击炮

3078	美女们好久不见我是你大胖小子(一)	看它的眼神真的像个孩子一样，可爱	像...一样	它	孩子

3079	给你们个通道，发个两毛钱的牢骚，评论请~	感觉自己像个傻一样，净办一些特么傻缺事，啊啊疯了	像...一样	自己	傻

3080	前方核能预警，直击灵魂的神级演唱	alin的转音像丝绸一样顺滑	像...一样	转音	丝绸

3081	把看舞台剧的初次体验献给我亲爱的姐姐和雪哥	你笑起来真好看，像春天的花一样。	像...一样	你	春天的花

3082	这么冷的天，这样对待孩子实在太过分了吧！！！	不一定是孩子又得家长就是偏激像个变态一样	像...一样	家长	变态

3083	最近有什么烦心事评论发泄一下吧这里没有人会认识你	可能是像个傻子一样，信了别人	像...一样	你	傻子

3084	赢在起跑线的科学备孕至关重要。	夫妻双人泰国备孕之旅感觉像蜜月一样真好！	像...一样	备孕之旅	蜜月

3085	对女孩子来说没有挂念的大猪蹄子真的是一件好事情呢	小白你长的像洋娃娃一样可爱	像...一样	小白	洋娃娃

3086	许下心愿~不管你写下什么，都会在100天内显灵	希望，信任像氧气一样存在…	像...一样	信任	氧气

3087	致电影院里的那些“妖魔鬼怪”大家五一快乐唷！！！	像蛆一样供进来电影院不是成茅斯啦	像...一样	那些“妖魔鬼怪”	蛆

3088	哈哈张震岳这突然一下要被玩坏了看出阿岳的自责了	为啥觉得他说话像唱歌一样？？！哈哈	像...一样	说话	唱歌

3089	又是另一个组合的双金带给我快乐	金曜汉跑的像个大傻子一样哈哈	像...一样	金曜汉	大傻子

3090	风驰电掣间，体内脂肪燃烧释放的热量，在全身激荡。	可以想象赘肉像女人的胸一样颤抖	像...一样	赘肉	女人的胸

3091	机场不缺厕所吧，她们这样，真的太无语了！	好大的露天旱厕呀!孩子大人都自由得像风儿一样。	像...一样	孩子大人	风儿

3092	聪明的包包今天倒地躺平了吗？	啥时候是个头啊真的像苍蝇一样好烦	像...一样	包包	苍蝇

3093	眼泪没忍住，会不会几十年后，我们都要经历这一幕。	每个人都有像小孩一样脆弱的一面	像...一样	每个人	小孩

3094	鸡腿小哥:炸鸡排还有猪肉白菜炖粉条	我觉得我看他吃饭好痛苦像上刑一样也不是很享受	像...一样	吃饭	上刑

3095	今天去了东京铁塔最高处，吃了可丽饼。	茶茶好像水蜜桃一样粉粉甜甜	像...一样	茶茶	水蜜桃

3096	评论里女生问一个问题，男生假装男朋友回答一下	有女朋友了还会有像哥们一样的异性朋友吗？	像...一样	异性朋友	哥们

3097	你们那里鸡腿多少一个哇我这边有10元3个	十块三个是翅根吧，长得像小鸡腿一样	像...一样	翅根	小鸡腿

3098	大家平时都是一个人去拍照很孤独吧	蹲在那里拍照像个傻子一样，路过的人都瞄你一眼	像...一样	你	傻子

3099	巴黎美食。你饿了吗？第一样是炸花天妇罗。	很难过o(╥﹏╥)o，每天工作都像奴隶一样	像...一样	你	奴隶

3100	id藏地九哥今天简单做点高原三烧	好像在给巨人做饭一样好好玩	像...一样	做点高原三烧	在给巨人做饭

3101	在日落之前，请让我为你歌唱一曲	"天空的雾来的漫不经心，河水像油画一样安静~"	像...一样	河水	油画

3102	其实我已经瞎了，而且浑身都是辐射。	浑身怎么辐射的，像胶水一样吗	像...一样	辐射	胶水

3103	每次买了新耳环就恨自己不是招风耳	我招风耳像个精灵一样，好搞笑	像...一样	我	精灵

3104	360度无死角的桂花，新发色绝了	现在的男生都像娘们一样动不动就360无死角……呸	像...一样	男生	娘们

3105	哈哈我发现这届网友的妈妈比网友更有才！	老妈明显是在看热闹啊，像吃瓜群众一样	像...一样	老妈	吃瓜群众

3106	我的减肥导师是夏天买的那些最小码紧身裤你呢	我的增肥导师那些阔得像裙子一样的裤子	像...一样	裤子	裙子

3107	大家最喜欢的一句歌词是什么？	我就像一个哑巴一样，反正我也不擅长抵抗	像...一样	我	一个哑巴

3108	理想中的家一定要有大大的落地窗	我会忍不住像猫一样滚地板的	像...一样	我	猫

3109	网友评选花生们的灾难杂志封面，你想提名谁？	刘亦菲粉色好看啊像游戏人物一样啊	像...一样	刘亦菲	游戏人物

3110	希望你的每一天，都是快乐的、自由的。	我会笑的像狗一样开心的	像...一样	我	狗

3111	瑾瑜瑾澈的小日常新的一年祝你们都暴美暴富暴幸福	连小日常都拍得像广告一样，俩小弟弟真养眼	像...一样	日常	广告

3112	七日生死之旅即将开启，今晚来约！	跨国营救真有点像大片一样的感觉。	像...一样	跨国营救	大片

3113	哈哈男的打游戏的时候会不回消息吗？？？	就喜欢看阿熊更博，像过年一样	像...一样	阿熊更博	过年

3114	古力娜扎短发古灵精怪调皮可爱穿粉装少女感十足	可爱太美了，像天使一样，给你点赞	像...一样	古力娜扎	天使

3115	这就是不愿意在公共厕所放纸的原因	祝她天天月经像这纸一样不断	像...一样	月经	这纸

3116	如诗似画的琉森～生活本就是美妙的童话故事	予哥好好看，像公主一样	像...一样	予哥	公主

3117	(_)我真的以为这是新的人形立牌	让我想到以前有张照片，也像人形立牌一样	像...一样	照片	人形立牌

3118	革命果然不是请客送礼，是真要流血的[哈哈	狗记者就像苍蝇一样可恶！	像...一样	狗记者	苍蝇

3119	宠粉!!!卷+关抽一人送小龙虾款面膜7.20开	让你们美美的，脸像剥了皮的鸡蛋一样光滑	像...一样	脸	剥了皮的鸡蛋

3120	COSMO时尚美丽盛典祝绪丹红毯，一袭白色长裙！	祝绪丹真的像是小仙女一样	像...一样	祝绪丹	小仙女

3121	章小蕙推荐之后，这个精油是不是就不好买了啊	看来我这像干草一样的头发有救了	像...一样	头发	干草

3122	中午的阳光还是很好。公园里很暖，希望你也开心些。	希望自己的心情能像公园里的花一样绽放	像...一样	心情	公园里的花

3123	只能偷偷摸摸地干，反正不让说！	媚姐你说的就像在偷情一样！	像...一样	偷偷摸摸地干	在偷情

3124	现场还有2000多暴徒跟警察对峙	香港警察应该发发威了，不要像病猫一样	像...一样	香港警察	病猫

3125	想像个小朋友在你身后在你左右	有了女儿之后，每天都像个狗仔一样对着她们拍拍拍。	像...一样	你	狗仔

3126	国足两中横梁，0-0战平印度	上半场踢的像猪一样慢！绝望啊！	像...一样	国足	猪

3127	实在不行我给你们放个“示意图”算了。	多少人觉得两天就像两年一样	像...一样	两天	两年

3128	再多等我几天呗评赞选2位送新品	快快快！这个像纸片一样的裙子还是裤子的安排！	像...一样	裙子	纸片

3129	嘘偷偷问一下学医的，是真的吗	我怎么看着这些字，就像蝌蚪一样	像...一样	字	蝌蚪

3130	25-17！中国女排拿下第二局	袁心玥和颜妮今天扣球就像玩耍一样。	像...一样	扣球	玩耍

3131	第二局25-17，中国队2-0领先。	袁颜两副攻今天扣球就像玩一样。	像...一样	扣球	玩

3132	哪有的事呢？祝各位网友中秋节快乐！心情愉快！//	这早餐怎么像四十万的饭局一样	像...一样	早餐	四十万的饭局

3133	奇葩说让我对李诞有了新的认知。	看到首页的人渐渐喜欢蛋蛋，我竟然像老母亲一样安慰	像...一样	我	老母亲

3134	我也很怕啊……我是鼓着勇气说的。	肥婆被人像大鼻涕一样的甩了，搁谁心理都不舒服啊！	像...一样	肥婆	大鼻涕

3135	伤痕，男子汉的勋章小表情还是很坚定呢！	穿上制服的军犬也像军人一样勇敢，受伤也不怕	像...一样	军犬	军人

3136	颜值高，帅气就是这么自信，举手投足都在闪闪发光！	像水一样波光粼粼的林彦俊！	像...一样	林彦俊	水

3137	说实话，我肯定谈不上喜欢，但也的确不讨厌蔡徐坤。	明星不讨厌，有些粉丝真像恶犬一样	像...一样	粉丝	恶犬

3138	敏感的人活着要承受双倍的难过	希望我们快乐都像吃饭一样简单	像...一样	快乐	吃饭

3139	古力娜扎仙女拍照果真有颜值穿什么都好看！	感觉古力娜扎的颜值是真高，像仙女一样好看。	像...一样	古力娜扎	仙女

3140	张丹三表态：有失格行为，无肉体关系，仅为朋友。	没办法看完这个视频真是听不下去说话也像背课文一样	像...一样	说话	背课文

3141	喜欢一个人，是不是就容易被他牵着鼻子走。	是啊，无条件迁就。就像被下蛊一样	像...一样	喜欢一个人	被下蛊

